REGION_DE_EJECUCION,TIPO_DE_INSTITUCION,SUBDIRECCION,AÑO_DE_FALLO,PROGRAMA,INSTRUMENTO,NOMBRE_DEL_CONCURSO,MONTO_TOTAL_ADJUDICADO_(M$),ESTADO_RESOLUCION_CONCURSO,DISCIPLINA_OECD,TIPO_DE_BENEFICIARIO,SEXO,MACRO_ZONA
01. TARAPACA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
03. ATACAMA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS MEDICAS Y DE LA SALUD,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS MEDICAS Y DE LA SALUD,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS MEDICAS Y DE LA SALUD,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
03. ATACAMA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
03. ATACAMA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
01. TARAPACA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS AGRICOLAS,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
03. ATACAMA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,MUJER,NORTE
01. TARAPACA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER,MAGISTER NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
01. TARAPACA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - MAGISTER PROFESIONALES DE LA EDUCACION,MAGISTER EN CHILE PARA PROFESIONALES DE LA EDUCACION,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO DAAD,BECAS CHILE - DOCTORADO DAAD,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
03. ATACAMA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO DAAD,BECAS CHILE - DOCTORADO DAAD,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,NO ADJUDICADO,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,NO ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,NO ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,MUJER,NORTE
03. ATACAMA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
03. ATACAMA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
03. ATACAMA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,NO ADJUDICADO,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
03. ATACAMA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
03. ATACAMA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,CIENCIAS SOCIALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
03. ATACAMA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - DOCTORADO,DOCTORADO BECAS CHILE,$-,FUERA DE BASES,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
03. ATACAMA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - MAGISTER,MAGISTER BECAS CHILE,$-,NO ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - MAGISTER,MAGISTER BECAS CHILE,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - MAGISTER,MAGISTER BECAS CHILE,$-,FUERA DE BASES,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
01. TARAPACA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - MAGISTER,MAGISTER BECAS CHILE,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS MEDICAS Y DE LA SALUD,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - MAGISTER,MAGISTER BECAS CHILE,$-,NO ADJUDICADO,CIENCIAS MEDICAS Y DE LA SALUD,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - MAGISTER,MAGISTER BECAS CHILE,$-,FUERA DE BASES,CIENCIAS SOCIALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,RESTO DEL MUNDO,CAPITAL HUMANO,2016,PFCHA,BECAS CHILE - MAGISTER,MAGISTER BECAS CHILE,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
